id	filename	md5	size	state
611b7039-10a5-4ca9-9498-b5b93531b255	TCGA-A2-A25B-01Z-00-DX1.58D7BEDE-5558-4A9E-A95E-DDF24C9267EF.svs	4952a1d994a3c4b98a92850b28496f0e	1639764821	released
aa8c4f21-2fce-4ccb-b270-4a1ad633f36e	TCGA-A1-A0SP-01Z-00-DX1.20D689C6-EFA5-4694-BE76-24475A89ACC0.svs	077167e178514b5b6517e2e78bab565e	1566627208	released
db327a0a-0a3b-49f0-8b15-f17a04c041ec	TCGA-A2-A0EV-01Z-00-DX1.EA8C5594-BA4F-47A8-949B-D536E00E62C9.svs	b1373ab69ead60c47cd7a0d2bee5a5a8	1848347715	released
0b2e87e5-8168-4e31-ace7-ef06fb4a1e68	TCGA-LL-A5YP-01Z-00-DX1.ADA978DF-6625-4C4D-AE0C-F589B2BA4897.svs	96db1492383d3678aa1213e8301cff7b	1144621801	released
471a120c-a28e-4e29-b53a-4dc7e3b7c33d	TCGA-AN-A0AL-01Z-00-DX1.D9E446A3-175F-4242-AFC1-78FFE3FC9AC4.svs	81a176b7b2ed39fa9aa7f0b77c323e81	1304505591	released
1d5bedeb-6a05-4a09-b4de-d16ef67f6ff8	TCGA-AC-A2B8-01Z-00-DX1.14F3A9B2-1382-436A-B53C-92FC8495AD48.svs	bc9351b263252fac96c4e42d51a954cc	768580226	released
64093c9e-aebe-4367-adbb-3ea85e3234c9	TCGA-A2-A0SX-01Z-00-DX1.219A994C-8974-4458-98FA-FB1F14868E04.svs	ba27c8f0c392bb069ef3ffe9b609fd39	1315819883	released
a6ff4c30-a482-4fbc-a2a0-afd934ab5511	TCGA-BH-A0E7-01Z-00-DX1.7FEE54C4-3795-403C-85B9-FF932BE56788.svs	fd14e4e2ad45294eb8d7c522cad5b4f0	950749993	released
1db59757-4a6d-4ea2-b696-ee0218258e27	TCGA-A2-A0YH-01Z-00-DX1.FBA5E711-8275-45B3-BC20-5A786EE23548.svs	d41ffb9dbeeb1ca729af91cc574c4527	505755659	released
a6be75f4-56a9-414e-aef4-41688edc3055	TCGA-A7-A26H-01Z-00-DX1.3344CFD3-5A19-4B01-BEB2-AB89F83FD53A.svs	1087c70348a9e3286d7cd4fba4d7bde1	397422899	released
83941cc5-0b4f-4b32-b73d-d9e825c01591	TCGA-A2-A25E-01Z-00-DX1.46D1950B-0BAF-4A44-B58F-CD738E74CB27.svs	0a01463a6bfb179c9996fc51df63429a	1217659365	released
7709738b-ba8e-4b20-9175-5db9b5c28556	TCGA-AN-A0FF-01Z-00-DX1.A23982C3-E0EB-4DB2-84EE-26E0005E3F66.svs	12bb1ec5183ac1add0c413dc3cf6261b	1437639739	released
d40c33af-4435-4119-9fa1-d1c7176be1b8	TCGA-AO-A03T-01Z-00-DX1.8B75E203-6DC8-4AC9-A256-6FCB818DA0DD.svs	ebdc9ee8a5d0da5b22826ea69c57c58a	551350858	released
df1645c7-0db5-4262-8c8d-b8577f272914	TCGA-A2-A0YJ-01Z-00-DX1.8135C74E-DAA8-4C8E-AF14-A4B5B57695BE.svs	6624209193dcfd0946ca4bb029697ebb	927073895	released
b0ad06bf-f7fc-4b29-9620-c84ee1ece625	TCGA-A2-A0T7-01Z-00-DX1.EA4DF9B5-8D04-4BCC-9ECB-CB8CB8ACBE1C.svs	cca8b9f626fd9d515a8ed27bc98bc49e	1054121393	released
31405404-b27c-440e-b211-16003fa09b50	TCGA-A2-A0CK-01Z-00-DX1.C3226BD1-11B0-4034-946A-BAB42958CE85.svs	a1c68960b6ef2bfcc8c2ac3f07f59af7	381312347	released
5f71ff26-3b04-432b-8bfc-1dc439263d79	TCGA-A8-A08O-01Z-00-DX1.BC87C01D-F081-41CA-939A-875C61588E88.svs	470b15b54e76abdd0a0cdee1fc76ac0a	289580616	released
a0a19584-3a8a-4005-b050-fb31ee60737d	TCGA-A8-A09W-01Z-00-DX1.BF33B0F9-5786-4682-B59E-DCBD33D7BB03.svs	0f592851e72f821542ceda19b5f68e80	615585412	released
5f2229b0-de23-4b4a-8531-7a82a9e2f614	TCGA-A2-A0T0-01Z-00-DX1.51F904DA-A4B5-4451-8AEF-58E7EF7651DB.svs	c2037fd980ec0ba952e2fcfb78ae53cd	1559068211	released
446e713e-6a1a-4ed9-bb8b-a4dd650fdfe3	TCGA-A7-A13H-01Z-00-DX1.FCB33A3C-6209-474C-83C1-02551F242937.svs	f259c9be2e88ed25f7529980a0802274	410549583	released
cd0b848f-b611-40ef-b643-987689b928fb	TCGA-A2-A0D0-01Z-00-DX1.4FF6B8E5-703B-400F-920A-104F56E0F874.svs	47d4901cb066ebba678b20c70c0de1f3	1149281117	released
08f09adc-95ba-491a-9f4d-d01fd9787b6f	TCGA-A8-A09V-01Z-00-DX1.2D6731CA-5712-4EB8-8602-E53301BF4238.svs	74c784ecbc7b3abde6bbd574887e43c5	306940000	released
49e28f2a-44b4-4e68-b489-952abc82014a	TCGA-A2-A4RX-01Z-00-DX1.E2C96C9D-5023-4F41-8CC8-24C6E015B252.svs	46e9a515115f66279a0704574c690e4d	860110583	released
3b9b1b74-c016-4bb4-a661-39f99208ca44	TCGA-A2-A0EU-01Z-00-DX1.13335BEB-63D4-469B-A389-8A079A096129.svs	99cde85cd677462a7988bf3c76ed3031	627084155	released
610877e4-a91c-4111-948d-d81927286de4	TCGA-A8-A07L-01Z-00-DX1.D9E1051F-724E-4E88-940A-C97005DC5BEB.svs	8dd542498174195a4b9c5215a4f71375	422059054	released
ea0ddd49-2f89-4044-a12e-c7e51b172a74	TCGA-A2-A0YF-01Z-00-DX1.6166E995-0669-43D6-B9C7-FE39BCE529CF.svs	8dcbfc943955f8de2a61d2567d4e9e56	1310284033	released
37ba294f-5f1a-4131-8c34-52d774ffb0ec	TCGA-AN-A03Y-01Z-00-DX1.074C48E5-ED69-40AE-8709-444898122BF4.svs	f04c120ecf18b0569440c78a275dd257	450587925	released
1bac9786-4d56-4f08-9792-ed131b398907	TCGA-D8-A1JH-01Z-00-DX1.4A4F2502-612C-421D-9F64-444BF2C85620.svs	1be1a65f73d1fe7f4021897ccd9027c2	1680116629	released
8bbe9bd4-ac73-4102-963b-3f9d53f0c48c	TCGA-A8-A086-01Z-00-DX1.E5FD8C53-2068-4018-B3C0-08EED253ACD2.svs	8b3536cde841d83502735069025c613e	1134447342	released
b49b4c3d-90b8-4ea8-8c8a-9d25471a01fe	TCGA-A2-A0YE-01Z-00-DX1.8A2E3094-5755-42BC-969D-7F0A2ECA0F39.svs	10ac09f41fcc860e86fff040300850ac	1380580793	released
b0e88e0a-ff33-4e06-b347-8281ecf03901	TCGA-A7-A425-01Z-00-DX1.812A94B1-0403-4298-A6C5-F71AFD3A9995.svs	4c8832b80b91ec551978fb5c07c9a733	739774317	released
57b7a966-ab1a-4168-bbd1-ad8788383f3c	TCGA-AO-A03R-01Z-00-DX1.DC317201-7F22-4C4A-86A5-ED82C37757C8.svs	9e0493ca8a2b82fd144f1b3dc53b6a4f	353675020	released
4daf9340-64ef-4362-b790-fd74632fe192	TCGA-A8-A08X-01Z-00-DX1.01FB49CC-6B8E-4317-8C42-6B6D81187A40.svs	7abd5f17b860d90bd4093a228e734039	482058632	released
eb11b68f-3c11-466f-963b-a09f10047b7a	TCGA-AN-A0AR-01Z-00-DX1.0CF1267E-C61B-4928-875E-59032F838F07.svs	ad3a4a4fd94913eafcd08e2b03a057c8	1098483229	released
f5861718-0a71-4ae0-af55-c0e5e93ab996	TCGA-A8-A0A2-01Z-00-DX1.47BCDF13-1065-466A-B7CB-F91F5EAD7D91.svs	b9bb11fe9ea6d35b7bd3c018d330c7f5	564742212	released
7719dfca-e5e8-4638-90a9-7d76115158d5	TCGA-A8-A09C-01Z-00-DX1.19E0C0E9-0ED6-4E3A-95FE-A5778F5DDBCD.svs	aa3ef97c328b5ec16dccae4b9987331d	495311542	released
6e1b44e9-94cc-455d-b5ec-b04d81f039c8	TCGA-A8-A06N-01Z-00-DX1.E25E65F8-DFE0-47CF-9FAB-B82EE8E321F7.svs	4efa9f41c27d658d4abb6852284dba67	733518108	released
693d0470-eecc-4457-a97a-d35ea2268188	TCGA-A7-A13G-01Z-00-DX1.C258C545-8C1F-41D4-846F-962A746CBDFB.svs	d5df4e4e00112f7c92abef5b82560e1b	125960225	released
9c3e5524-87f6-4f16-8fdd-582d4dd4343c	TCGA-AO-A03N-01Z-00-DX1.79A8816D-961F-4D79-90B4-341919297A90.svs	304af4b87e6238c4aa669484c019ee20	928127742	released
0dec98aa-fb71-4367-8d39-6a71ae06e442	TCGA-A8-A09K-01Z-00-DX1.41B2DF5F-C0E1-43BB-BAA5-2946A9EC4650.svs	e984afa92734d962f2d34bdf7295c954	1044914964	released
